智能制造事业部总经理,50-60万/年,苏州金峰物流设备有限公司,苏州-工业园区  ,  10年以上经验  ,  本科  ,  招1人  ,  12-22发布,"五险一金,年终奖金,餐饮补贴,补充医疗保险,员工旅游,定期体检,出国机会,专业培训","1.全面组织实施集团总裁的有关决议和规定，全面完成集团总裁制定的各项指标，并将实施情况向集团总裁汇报；
2.负责宣传贯彻执行国家和行业有关法律、法规、方针、政策；
3.根据集团总裁的要求确定事业部的经营方针，建立事业部的经营管理体系；
4.负责召集和主持事业部办公会议，协调、检查和督促各部的工作；
5.根据市场变化，不断调整事业部的经营方向，使事业部持续健康发展；

","要求：
1.智能仓储销售10年以上工作经验，5年以上管理工作经验，管理过100人的销售团队优先；
2.***本科以上学历，硕士以上学历尤佳，管理类相关专业；
3.优秀的外联与公关能力；
4.熟练的外语、沟通交流能力；
职能类别：
首席执行官CEO/总裁/总经理
微信分享"
智能制造信息化专家,15.6-26万/年,江西省智能产业技术创新研究院,南昌-南昌县  ,  10年以上经验  ,  本科  ,  招1人  ,  12-22发布,"五险一金,餐饮补贴,通讯补贴,专业培训,绩效奖金,周末双休,定期体检","1、按智能制造能力成熟度模型开展企业信息化水平调研诊断；
2、引导企业智能制造升级需求，并按标准信息系统框架进行需求分析；
3、根据企业需求，编制具有行业特征的信息系统解决方案；
4、指导企业正确部署、配置信息系统，并对相关基础设施给出要求和建议；
5、协助客户进行项目验收，并提供系统运维指导；
6、指导客户进行相关项目申报；
7、提供智能工厂相关培训。

","要求
1、统招本科以上学历，计算机或电子信息相关专业；
2、具有10年以上企业信息化工作经验，具有第三方信息化咨询经验者优先；
3、熟悉ERP、MES、PDM、CRM、WMS等软件系统，熟悉DCS、SCADA等控制系统者优先；
4、熟悉两化融合、国家智能制造标准框架、智能制造成熟度模型；
5、具有5个以上企业信息系统规划及实施项目经验，曾任项目经理者优先；
6、精通Office软件操作，能够编制规范的系统规划和实施方案；
7、具有较强的沟通交流能力，擅长咨询、售前、讲标等工作；
8、具有较强的责任心、团队精神和抗压能力。
职能类别：
项目经理
微信分享"
智能制造应用 (职位编号：ICRD000744),30-60万/年,上海集成电路装备材料产业创新中心有限公司,上海  ,  5-7年经验  ,  本科  ,  招若干人  ,  12-21发布,"五险一金,补充医疗保险,补充公积金,交通补贴,餐饮补贴,通讯补贴,专业培训,出国机会,年终奖金","岗位职责:
1. 负责Fab智能化功能软件设计、开发和测试（如派工运维、缺陷分析、良率溯源、FDC分析、设备建模、产能提升等）；

2. 参与系统同其它客户系统（如：MES、ERP、WMS等）通讯数据接口方案制定，并完成相关程序开发；

3. 推动智能制造方案的场景落地，负责软件功能集成、上线、部署和运维等问题；

4. 负责客户使用反馈信息收集、过滤，整理客户新增需求等，并向积极推广相关智能化解决方案；

5. 完成产品相关技术文档的撰写和整理；


","资格:
1. 本科及以上学历，微电子、计算机、数学、自动化、软件工程、统计等专业毕业，有集成电路工厂和IT等相关工作经验；

2. 对数据和智能化相关技术有sense，熟悉数据结构和相关算法，熟悉C/C++/Python/Java等编程语言，了解深度学习框架、软件工程等，了解数据库操作；

3. 熟悉ASP.NET Core框架、MVC、Java""script""、CSS等，熟悉数据结构、串口、Socket通信，熟悉多线程编程；

4. 了解或使用过一种缓存管理、消息队列管理，如：MSMQ、Redis、RabbitMQ、Tibco RV等；

5. 熟悉Foundry生产流程与生产场景，了解AMHS, MES, EAP, RTD, APC等系统运作，集成电路工厂制造部、工程部、IT部相关经验者优先；

6. 其他要求：具有良好的业务理解能力、逻辑思维能力和团队协作能力；

7. 有较强的学习能力、分析能力、沟通能力、钻研精神，有较好的团队合作精神；
职能类别：
半导体技术
关键字：
智能制造FAB
微信分享"
智能制造解决方案（教育）,1-1.8万/月,北京能科瑞元数字技术有限公司,北京-海淀区  ,  3-4年经验  ,  本科  ,  招1人  ,  12-21发布,"五险一金,补充医疗保险,通讯补贴,餐饮补贴,交通补贴,取暖补贴,防暑降温补贴","岗位职责：
    1. 根据智能制造数字化人才课程体系规划，对接客户需求，开展需求调研与分析；
    2. 联合和组织业界专家并参与开发智能制造数字化人才培养课程大纲、课件、试题及考核标准、微课等教学资源；
    3. 定期开展课程打磨并持续优化课程；
    4. 根据授课需求，能够承担一定的课程讲授任务及储备师资培训任务；
    5. 课程研发和培训过程中需要跨部门配合的其他工作。
    6. 配合销售向客户讲解智能制造数字化人才培养方案，帮助销售完成销售任务。


","要求：
1. 本科及以上学历，机械工程、自动化、工业工程相关专业。***/***毕业优先；
2. 两年以上企业智能制造数字化升级项目经验，有工业软件项目实施经验。有课程研发或企业大学培训师工作经验（工业自动化、工业软件相关行业）优先；
3. 逻辑清晰，敢于担当，自我驱动；
4. 有良好的组织协调能力，项目管理经验优先；
5. 具有团队协作能力，乐于分享，有团队管理经验优先；
6. 热爱教育培训工作，具备良好的职业化素养与思考意识，有教材编写及课件制作经验优先。
职能类别：
培训产品开发
关键字：
PLMMES智能制造工业软件课程开发课程培训
微信分享"
智能制造主管,0.8-2万/月,富奥汽车零部件股份有限公司,长春-高新技术产业开发区  ,  5-7年经验  ,  本科  ,  招3人  ,  12-21发布,"五险一金,补充医疗保险,年终奖金","1、智能制造工厂管控框架、管控标准、管控要点的策划、落地。
2、负责智能制造相关项目的落地措施的策划、推进；
3、针对所有分子公司智能制造业务个性化升级转型方案辅导；
4、智能制造理论、框架、具体措施的研讨（策划）、标准编制；
5、把控集团整体的业务需求、方案、流程、规则、职责、关系、数据标准和数据流向；
6、下属公司智能制造人才育成相关工作；
7、支持各单位智能制造新线搭建，旧线改造等相关智能制造项目。
","要求：
1、基本要求
1）熟悉数字化制造、智能制造理论，实施方法；
2）熟悉智能制造信息技术、数据技术、网络、通信相关技术；
3）有智能制造领域从业经验、智能制造项目经验；
4）具有智能制造或IOT推广的经验。
2、知识要求
1）具备丰富的、跨学科的知识结构：
     ①掌握主要的制造工艺、智能装备等方面的基本理论和基本知识；
     ②掌握工业自动化的基本理论和应用方法；
     ③具备基本的机械设计、装备技术方面的相关知识（PLC，传感器，机器人等），掌握基本的装备（设备）设计的流程和控制要点；
     ④掌握基本的IT相关知识，例如：数据通信、信号采集基本知识；
     ⑤精通数字化工厂整体业务架构，包含：ERP、MES、SAP等软件，以及数字化工厂模拟仿真等软件。
2）具备精益制造、工厂管理的知识：
     ①熟悉并掌握汽车零部件制造企业的现场/制造管理流程、方法，熟悉工厂运营各业务的关系和逻辑；
     ②熟悉并了解精益方法在工厂和制造过程的应用方法；
     ③熟悉工厂各关键KPI的计算方法、改进方法。
3、能力要求
1）具备相当的策划能力和规划能力，具备策划数字化工厂、智能工厂架构、落地实施的能力；
2）战略思维和顶层架构设计能力，能够将业务、流程、数据和IT打通；
3）把控整体的业务需求、方案、流程、规则、职责、关系、数据标准和数据流向；
4）具有开展智能制造相关培训、教学的能力。
4、经验要求
1）在智能制造相关领域工作5年以上，有在世界500强企业工作经验者优先；
2)有智能制造工厂、产线项目导入经验者优先。
五、学历要求
***本科及本科以上学历。
职能类别：
其他
微信分享"
智能制造高级研究员,1.2-1.8万/月,武汉制信科技有限公司（e-works）,武汉  ,  5-7年经验  ,  本科  ,  招1人  ,  12-20发布,"五险一金,定期体检,交通补贴","工作职责：
1、负责制造业产业发展类课题的研究；
2、承担区域/行业两化融合、智能制造调研、规划编制项目；
3、承担智能制造相关领域市场研究项目；
4、为政府主管部门产业规划提供咨询服务。

","要求：
1、硕士及以上学历，机械、自动化、计算机、管理工程等专业，个人素质优秀的本科毕业生亦可适当放宽学历要求；
2、有信息化软件、自动化厂商咨询或实施经验，或制造型企业智能制造、信息化工作经验者优先；
3、能够熟练使用word、Excel、powerpoint、Visio、project等相关软件；
4、善于思考、积极主动、勤奋好学；
5、具有良好的沟通表达能力、优秀的报告撰写能力，热爱写作。
职能类别：
项目经理
关键字：
信息化ERPIT项目经理系统工程师实施顾问
微信分享"
智能制造储备人才-雅安 (职位编号：CRC999006398),0.5-1万/月,华润三九医药股份有限公司,雅安  ,  无需经验  ,  本科  ,  招1人  ,  12-20发布,"五险一金,通讯补贴,交通补贴","岗位职责:
1、智能制造；
2、设备运维；


","资格:
1、学历要求本科及以上，自动化及相关专业
职能类别：
工程/设备工程师
微信分享"
物联网专员（智能制造）(J10078),1-1.5万/月,泰瑞机器股份有限公司,杭州  ,  3-4年经验  ,  本科  ,  招1人  ,  12-20发布,"五险一金,年终奖金,提供住宿,员工旅游,高温假,春节假期15天,节日福利,带薪年假","工作职责:
1.项目规划
1.1分析公司生产现状及物联网项目需求；
1.2 在指导下制定初步的项目解决方案思路；
1.3负责制定项目实施规划并组织评审。
2.项目选型
2.1 收集掌握市场上关于物联网改造的项目实施案例及供应商信息；
2.2 负责联系供应商进行询价比价，确定供应商并签订项目合同。
3.项目实施
3.1 协调内部资源开展项目实施工作；
3.2 监督供应商实施过程，提出改进措施，识别重要问题并督促处理；
3.3 参与项目验收，跟进后期供应商服务。
","资格:
最低学历：本科
工作经验：3年以上工作经验
专业知识：生产管理、物联网知识、计算机软件
工作技能：CAD绘图、Office办公软件
职能类别：
项目执行/协调人员项目主管
微信分享"
智能制造专家 (职位编号：FarEast000370),2.5-3万/月,远东控股集团有限公司,无锡-宜兴市  ,  8-9年经验  ,  本科  ,  招1人  ,  12-15发布,"包住宿,五险一金,员工旅游,交通补贴,餐饮补贴,通讯补贴,专业培训,绩效奖金","岗位职责:
职责描述：

1. 负责大型企业整体数字化规划、架构和方案设计，帮助企业实现全面数字化转型；2. 深度调研分析企业信息化、数字化现状，归纳业务痛点和需求，规划定制数字化解决方案；3. 结合具体业务场景，帮助建立完善的企业数字化方案架构，提供边缘计算、人工智能、IOT等产品技术的综合解决方案，并制定技术架构与实现路径，带领内部资源推动方案落地；4. 参与数字化供应商的商务沟通，并参与制订项目实施计划预算书。


","资格:
1. 信息技术、计算机专业相关专业，本科以上学历 ； 2. 10年以上数字化规划、设计、实施经验，有过咨询公司IT背景+CIO背景； 3. 5年以上运营大数据分析经验和大型数字化项目管理经验； 4. 在数字化管理、经营和商业创新上有一定的经验和创新设计能力，对企业数字化转型相关领域有足够认知洞察能力，并能前瞻性地理解技术发展趋势和应用场景； 5. 深入理解业务中台、数据中台架构理念，并具有一定的实践经验5. 熟悉制造行业相关管理系统，包括MES、WMS、ERP等软件构架； 6. 具备较强的有很强的业务分析，整体方案规划能力、设计能力以及表达能力，能快速分析和归纳客户痛点和需求，并提供定制化解决方案； 7. 具备较强的业务沟通和逻辑思维能力，较强的文档材料编写表达能力和呈现汇报能力
职能类别：
项目总监
关键字：
工业互联智能制造顶层设计
微信分享"
智能制造学院工业机器人专业带头人,12-15万/年,武汉乐群教育投资有限公司,武汉  ,  3-4年经验  ,  硕士  ,  招1人  ,  12-12发布,,一、,"要求：
1.拥护中国共产党的领导，热爱祖国、热爱教育事业，具备良好的品行和职业道德，具有教书育人、团结协作和奉献精神；
2.***硕士研究生及以上学历，制造类相关专业，3年及以上专业带头人工作经历，行业技术大师及能工巧匠可放宽学历要求，并优先考虑；
3.具有强烈的事业心和责任感，能充分发挥工作积极性和创造性，关心、爱护学生；
4.学习能力强，有钻研、开拓精神。具有扎实的理论教学知识和过硬的实践教学能力，并持有相应学历学位证书或相关职业资格证书，有海外留学或工作经历者优先考虑。

二、福利待遇：
1.待遇面议；
2.学院满足拔尖人才及行业能工巧匠的工作要求和条件保障，采取一事一议，特事特办的制度引进高层次人才；
3.按学院薪酬体系定薪，标准高于湖北同类高校薪酬，购买五险一金，享受国家法定节假及寒暑假；
4.提供环境舒适的教师公寓；
5.拥有国内外进修和访学的机会；
6.享受教职工子女就读武汉外国语学校美加分校（包括幼儿园、小学、初中、高中）的优惠政策；
7.定期体检、节日福利等。

三、应聘流程及要求：
1.报名方式 ：
请将个人简历发送至xyzhaopin@cimicahi.com.cn。应聘邮件的主题请注明“姓名 应聘岗位 联系电话 ？？
联系人： 郭老师 胡老师 联系电话：0712-2283061/2283062
2.资格审查
我院将对招聘网站应聘人员所提交的个人信息进行资格审查，对符合基本条件者会电话通知面试。
3.面试
面试分初试和复试。参加面试者需向学校提交以下纸质材料：（1）近期彩色 2 寸登记照 1张。（2）学历证明（应届毕业生须附成绩单原件及复印件）、身份证、各类资格证、获奖证书等原件及复印件。（3）历来发表的论文、专著、教材和科研项目等成果原件或证明。
4.体检
对于面试合格者，将会电话通知自行安排到指定医院体检。
5.录用
对符合录用条件的人员，由我校通知，签订劳动合同。

特别提醒：应聘人员提供的信息和材料必须真实完整，如发现弄虚作假者，将随时解除劳动关系，所造成的一切损失由应聘人员本人承担。
职能类别：
职业技术教师数据分析师
微信分享"
智能制造部长,20-30万/年,江苏大明精工制造有限公司,泰州-靖江市  ,  5-7年经验  ,  大专  ,  招1人  ,  12-08发布,"五险一金,交通补贴,专业培训,定期体检,餐饮补贴,绩效奖金","一、智能制造项目管理
1、 负责根据公司行业及工艺特点，制定工厂整体智能制造项目发展规划，提升内部智能制造水平，打造智慧化工厂；
2、 负责智能制造项目的管理，进行资源协调，保证项目进度，项目成本及项目质量；
3、 负责根据国家智能制造的政策指引，结合公司实际进行智能装备的项目开发及配合相应申请；
4、 负责公司对外的智能制造项目沟通交流及技术服务支持工作；
二、工厂所有设施、设备整体资源合理化规划及管理
1、负责生产设备、设施的技术改造及装备项目开发，优化资源降本增效，提高劳动生产率及设备利用率；
2、根据公司的发展规划，参与全公司基本建设，厂房规划及改造、做好预算管理及整体装备项目方案；
三、团队管理
1、负责搭建并带领智能制造团队，使团队具备较强的对内外装备制造技术水平；
2、负责团队人员领导和管理，进行团队的制度管理流程管理，维护团队日常工作并激励团队；
","资格：
1、机械设备等相关专业本科以上学历；
2、5年以上工程设备相关工作经验，2年以上同岗工作经验；
3、具备智能装备制造项目管理能力及相关专业能力，有粉末冶金/硬质合金行业设备管理及智能制造经验优先；
4、责任心强，拼搏创新，能够与创业团队共同奋斗长期发展。
职能类别：
工厂经理/厂长
微信分享"
智能制造工程师-M事业部 (职位编号：DFMC005059),1.5-2.5万/月,东风汽车集团有限公司,武汉  ,  5-7年经验  ,  本科  ,  招1人  ,  12-06发布,"带薪年假,绩效奖金,午餐补助,通讯津贴","岗位职责:
1. 负责数字化制造整体规划、实施、推进
2. 负责制造领域大数据系统的规划、构建、实施、推进
3. 负责数字化工厂工艺规划建模和仿真


","资格:
1.***本科及以上学历
2.具备良好的英语听说读写能力
3.汽车行业6年及以上
4. 掌握一定的汽车专业基础知识
5. 掌握一定制造业常用软件及自动化程序方面基础知识
6. 熟悉汽车行业智能制造现状，并对行业领先项目相关信息有一定了解
7. 了解汽车主机厂制造工艺
8. 有数字化工厂项目实施经验
9. 熟悉ERP、MES、IS等信息系统数据业务
10.熟悉Catia、AutoCAD、Delmia、PD/PS等设计软件
11.熟悉3D绘图、生产线3D扫描、工厂建模
12.了解工业Robot编程、PLC电器等自动化技术要求
13. 有良好的口头沟通、文案表达、团队建设、项目管理能力
14.具备强烈的责任心和敬业精神、良好的团队合作精神
15.身体健康
说明：本岗位招聘单位为东风汽车集团股份有限公司 M事业部。
职能类别：
其他
微信分享"
